,bioguide_id,birthdate,cid,comments,congress_office,exit_code,facebook_id,fax,feccandid,first_elected,firstlast,gender,lastname,office,party,phone,twitter_id,votesmart_id,webform,website,youtube_url
95,M001153,1957-05-22,N00026050,,522 Hart Senate Office Building,0,SenLisaMurkowski,202-224-5301,S4AK00099,2002,Lisa Murkowski,F,MURKOWSKI,AKS2,R,202-224-6665,LisaMurkowski,15841,https://www.murkowski.senate.gov/public/index.cfm/contact,https://www.murkowski.senate.gov,https://youtube.com/senatormurkowski
96,T000468,1950-05-23,N00030191,,2464 Rayburn House Office Building,0,CongresswomanTitus,,H8NV03036,2012,Dina Titus,F,TITUS,NV01,D,202-225-5965,RepDinaTitus,2629,https://titus.house.gov/contact/email-me,https://titus.house.gov,https://youtube.com/CongresswomanTitus
97,A000369,1958-06-12,N00031177,,332 Cannon House Office Building,0,MarkAmodeiNV2,202-225-5679,H2NV02395,2011,Mark Amodei,M,AMODEI,NV02,R,202-225-6155,MarkAmodeiNV2,12537,https://amodei.house.gov/contact-us,https://amodei.house.gov,https://youtube.com/markamodeinv2
98,H001055,1961-10-30,N00031244,Lost Senate general,132 Cannon House Office Building,21,pages/foo/155211751194624,202- 225-2185,H0NV03058,2010,Joe Heck,M,HECK,NV03,R,202-225-3252,RepJoeHeck,44082,https://heck.house.gov/contact-me,http://heck.house.gov,http://youtube.com/repjoeheck
99,H001070,1957-06-23,N00035628,Lost general election,430 Cannon House Office Building,21,,202-225-9783,H4NV04017,2014,Cresent Hardy,M,HARDY,NV04,R,202-225-9894,,,,https://hardy.house.gov,
100,H001041,1960-05-10,N00027522,,324 Hart Senate Office Building,0,SenDeanHeller,202-228-6753,H6NV02164,2011,Dean Heller,M,HELLER,NVS1,R,202-224-6244,SenDeanHeller,2291,http://www.heller.senate.gov/public/index.cfm/contact-form,https://www.heller.senate.gov/public,https://youtube.com/SenDeanHeller
101,R000146,1939-12-02,N00009922,Retired at end of 114th,522 Hart Senate Office Building,4,pages/foo/360249323990357,202-224-7327,S6NV00028,1986,Harry Reid,M,REID,NVS2,D,202-224-3542,SenatorReid,53320,http://www.reid.senate.gov/contact,http://www.reid.senate.gov,http://youtube.com/SenatorReid
102,B001250,1951-07-13,N00025292,,123 Cannon House Office Building,0,RepRobBishop,202-225-5857,H2UT01094,2002,Rob Bishop,M,BISHOP,UT01,R,202-225-0453,RepRobBishop,50544,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov,https://youtube.com/CongressmanBishop
103,S001192,1960-07-15,N00033932,,323 Cannon House Office Building,0,RepChrisStewart,801-364-5551,H2UT02324,2012,Chris Stewart,M,STEWART,UT02,R,202-225-9730,RepChrisStewart,135930,https://stewart.house.gov/contact/email-me,http://stewart.house.gov,https://youtube.com/repchrisstewart
104,C001076,1967-03-26,N00028958,,2236 Rayburn House Office Building,0,CongressmanJasonChaffetz,202-225-5629,H8UT03089,2008,Jason Chaffetz,M,CHAFFETZ,UT03,R,202-225-7751,JasonInTheHouse,103482,https://chaffetz.house.gov/contact-me/email-me,https://chaffetz.house.gov,https://youtube.com/JasonChaffetz
105,L000584,1975-12-06,N00033842,,217 Cannon House Office Building,0,repmialove,202-225-5638,H2UT04023,2014,Mia Love,F,LOVE,UT04,R,202-225-3011,repmialove,,,https://love.house.gov,
106,H000338,1934-03-22,N00009869,,104 Hart Senate Office Building,0,senatororrinhatch,202-224-6331,S6UT00063,1976,Orrin G Hatch,M,HATCH,UTS1,R,202-224-5251,SenOrrinHatch,53352,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,http://www.hatch.senate.gov,https://youtube.com/SenatorOrrinHatch
107,L000577,1971-06-04,N00031696,,361a Russell Senate Office Building,0,senatormikelee,,S0UT00165,2010,Mike Lee,M,LEE,UTS2,R,202-224-5444,SenMikeLee,66395,https://www.lee.senate.gov/public/index.cfm/contact,https://www.lee.senate.gov/public,https://youtube.com/senatormikelee
108,W000413,1943-05-25,N00003467,Resigned on 9/6/2016,2184 Rayburn House Office Building,2,pages/foo/91115765425,202-225-3547,H4KY01040,1994,Ed Whitfield,M,WHITFIELD,KY01,R,202-225-3115,RepEdWhitfield,21873,https://whitfield.house.gov/contact/email-me,http://whitfield.house.gov,http://youtube.com/WhitfieldKY01
109,G000558,1964-02-18,N00029675,,2434 Rayburn House Office Building,0,,202-226-2019,H8KY02031,2008,Brett Guthrie,M,GUTHRIE,KY02,R,202-225-3501,RepGuthrie,18829,http://brettguthrieforms.house.gov/contact/,https://guthrie.house.gov,https://youtube.com/BrettGuthrie
110,Y000062,1947-11-04,N00028073,,131 Cannon House Office Building,0,214258646163,202-225-5776,H6KY03124,2006,John A Yarmuth,M,YARMUTH,KY03,D,202-225-5401,RepJohnYarmuth,58579,http://yarmuth.house.gov/contact-john2/,https://yarmuth.house.gov,https://youtube.com/RepJohnYarmuth
111,M001184,1971-01-13,N00034041,,2453 Rayburn House Office Building,0,RepThomasMassie,202-225-0003,H2KY04121,2012,Thomas Massie,M,MASSIE,KY04,R,202-225-3465,RepThomasMassie,132068,http://massieforms.house.gov/contact/,https://massie.house.gov,https://youtube.com/repthomasmassie
112,R000395,1937-12-31,N00003473,,2406 Rayburn House Office Building,0,CongressmanHalRogers,202-225-0940,H0KY05015,1980,Hal Rogers,M,ROGERS,KY05,R,202-225-4601,RepHalRogers,26875,https://halrogers.house.gov/contact/contactform.htm,http://halrogers.house.gov,https://youtube.com/RepHalRogers
113,B001282,1973-07-24,N00031233,,1427 Longworth House Office Building,0,RepAndyBarr,,H0KY06104,2012,Andy Barr,M,BARR,KY06,R,202-225-4706,RepAndyBarr,117290,https://barr.house.gov/contact/email-me,https://barr.house.gov,https://youtube.com/RepAndyBarr
114,M000355,1942-02-20,N00003389,,317 Russell Senate Office Building,0,mitchmcconnell,202-224-2499,S2KY00012,1984,Mitch McConnell,M,MCCONNELL,KYS1,R,202-224-2541,McConnellPress,53298,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,https://www.mcconnell.senate.gov,
115,P000603,1963-01-07,N00030836,Lost presidential primary,167 Russell Senate Office Building,0,SenatorRandPaul,202-228-1373,S0KY00156,2010,Rand Paul,M,PAUL,KYS2,R,202-224-4343,SenRandPaul,117285,https://www.paul.senate.gov/connect/email-rand,https://www.paul.senate.gov,https://youtube.com/SenatorRandPaul
116,R000515,1946-11-23,N00004887,,2188 Rayburn House Office Building,0,congressmanbobbyrush,202-226-0333,H2IL01042,1992,Bobby L Rush,M,RUSH,IL01,D,202-225-4372,RepBobbyRush,26831,https://rush.house.gov/contact-me/legislative-issues,http://rush.house.gov,https://youtube.com/CongressmanRush
117,K000385,1956-04-30,N00035215,,1239 Longworth House Office Building,0,reprobinkelly,202-225-4583,H2IL02172,2013,Robin Kelly,F,KELLY,IL02,D,202-225-0773,RepRobinKelly,33384,https://robinkelly.house.gov/contact/email-me,https://robinkelly.house.gov,
118,L000563,1966-07-15,N00027239,,2346 Rayburn House Office Building,0,repdanlipinski,202-225-1012,H4IL03077,2004,Daniel Lipinski,M,LIPINSKI,IL03,D,202-225-5701,RepLipinski,33692,https://lipinskiforms.house.gov/contact-form,https://lipinski.house.gov,https://youtube.com/lipinski03
119,G000535,1953-12-10,N00004874,,2408 Rayburn House Office Building,0,RepGutierrez,202-225-7810,H2IL08039,1992,Luis V Gutierrez,M,GUTIERREZ,IL04,D,202-225-8203,LuisGutierrez,26841,http://gutierrezforms.house.gov/contact/,https://gutierrez.house.gov,https://youtube.com/repluisgutierrez
120,Q000023,1958-10-17,N00030581,,2458 Rayburn House Office Building,0,repmikequigley,202-225-5603,H0IL05096,2009,Mike Quigley,M,QUIGLEY,IL05,D,202-225-4061,RepMikeQuigley,83310,https://quigleyforms.house.gov/forms/writeyourrep/,https://quigley.house.gov,https://youtube.com/RepMikeQuigley
121,R000580,1961-09-13,N00004719,,2246 Rayburn House Office Building,0,PeterRoskam,202-225-1166,H6IL06117,2006,Peter Roskam,M,ROSKAM,IL06,R,202-225-4561,PeterRoskam,6382,https://roskam.house.gov/contact/email-me,https://roskam.house.gov,https://youtube.com/RoskamIL06
122,D000096,1941-09-06,N00004884,,2159 Rayburn House Office Building,0,280757931935749,202-225-5641,H4IL07037,1996,Danny K Davis,M,DAVIS,IL07,D,202-225-5006,RepDannyDavis,233,https://davis.house.gov/email-me,https://davis.house.gov,https://youtube.com/dannykdavis07
123,D000622,1968-03-12,N00027860,Elected Senator,524 Hart Senate Office Building,15,SenDuckworth,,H6IL06141,2012,Tammy Duckworth,F,DUCKWORTH,IL08,D,202-224-2854,SenDuckworth,57442,https://www.duckworth.senate.gov/content/contact-senator,https://www.duckworth.senate.gov,https://youtube.com/repduckworth
124,S001145,1944-05-26,N00004724,,2367 Rayburn House Office Building,0,janschakowsky,202-226-6890,H8IL09067,1998,Jan Schakowsky,F,SCHAKOWSKY,IL09,D,202-225-2111,JanSchakowsky,6387,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky,https://schakowsky.house.gov,https://youtube.com/repschakowsky
125,D000613,1969-06-23,N00031103,Lost general election,221 Cannon House Office Building,21,pages/foo/131680867001,,H0IL10302,2014,Bob Dold,M,DOLD,IL10,R,202-225-4835,RepDold,116548,,https://dold.house.gov,http://youtube.com/RepDold
126,F000454,1955-10-07,N00029139,,1224 Longworth House Office Building,0,CongressmanBillFoster,202-225-9420,H8IL14067,2012,Bill Foster,M,FOSTER,IL11,D,202-225-3515,RepBillFoster,101632,https://foster.house.gov/contact/email-me,http://foster.house.gov,https://youtube.com/RepBillFoster
127,B001295,1960-12-30,N00035420,,1440 Longworth House Office Building,0,RepBost,202-225-0285,H4IL12060,2014,Mike Bost,M,BOST,IL12,R,202-225-5661,RepBost,,,https://bost.house.gov,
128,D000619,1970-01-05,N00034784,,1740 Longworth House Office Building,0,RepRodneyDavis,217-791-6168,H2IL13120,2012,Rodney Davis,M,DAVIS,IL13,R,202-225-2371,RodneyDavis,9622,https://rodneydavisforms.house.gov/contact/,http://rodneydavis.house.gov,https://youtube.com/RepRodneyDavis
129,H001059,1966-03-01,N00031104,,2455 Rayburn House Office Building,0,RepHultgren,202-225-0697,H0IL14080,2010,Randy Hultgren,M,HULTGREN,IL14,R,202-225-2976,RepHultgren,18199,https://hultgren.house.gov/contact/email-randy,http://hultgren.house.gov,https://youtube.com/rephultgren
130,S000364,1958-02-21,N00004961,,2217 Rayburn House Office Building,0,repshimkus,202-225-5880,H2IL20042,1996,John M Shimkus,M,SHIMKUS,IL15,R,202-225-5271,RepShimkus,246,https://shimkus.house.gov/contact/email-me,https://shimkus.house.gov,https://youtube.com/repshimkus
131,K000378,1978-02-27,N00030667,,2245 Rayburn House Office Building,0,RepKinzinger,202-225-3521,H0IL11052,2010,Adam Kinzinger,M,KINZINGER,IL16,R,202-225-3635,RepKinzinger,116559,https://kinzinger.house.gov/email-adam,http://kinzinger.house.gov,https://youtube.com/RepAdamKinzinger
132,B001286,1961-10-17,N00033390,,1009 Longworth House Office Building,0,RepCheri,309-786-3720,H2IL17071,2012,Cheri Bustos,F,BUSTOS,IL17,D,202-225-5905,RepCheri,134964,http://bustos.house.gov/contact,https://bustos.house.gov,https://youtube.com/RepCheri
133,S001179,1981-05-28,N00029273,"Resigned March 31, 2015",2464 Rayburn House Office Building,2,pages/foo/70882853544,202-225-9249,H8IL18043,2008,Aaron Schock,M,SCHOCK,IL18,R,202-225-6201,AaronSchock,33428,https://schock.house.gov/contact/contactform.htm?zip5=,http://schock.house.gov,http://youtube.com/repaaronschock
134,L000585,1968-07-05,N00037031,Won special 9/10/2015,1424 Longworth House Office Building,0,replahood,,,2015,Darin LaHood,M,LAHOOD,IL18,R,202-225-6201,RepLaHood,,,https://lahood.house.gov,
135,D000563,1944-11-21,N00004981,,711 Hart Senate Office Building,0,SenatorDurbin,202-228-0400,S6IL00151,1996,Dick Durbin,M,DURBIN,ILS1,D,202-224-2152,SenatorDurbin,26847,https://www.durbin.senate.gov/contact/,https://www.durbin.senate.gov,https://youtube.com/SenatorDurbin
136,K000360,1959-09-15,N00012539,Lost general election,524 Hart Senate Office Building,21,pages/foo/116381528428230,202-228-4611,H0IL10120,2010,Mark Kirk,M,KIRK,ILS2,R,202-224-2854,SenatorKirk,33502,http://www.kirk.senate.gov/?p=comment_on_legislation,http://www.kirk.senate.gov,http://youtube.com/SenatorKirk
137,S000051,1960-05-28,N00002424,,2211 Rayburn House Office Building,0,RepSanfordSC,843-521-2535,H4SC01073,2013,Mark Sanford,M,SANFORD,SC01,R,202-225-3176,RepSanfordSC,21991,https://sanford.house.gov/contact/email-me,https://sanford.house.gov,https://youtube.com/RepSanfordSC
138,W000795,1947-07-31,N00024809,,1436 Longworth House Office Building,0,JoeWilson,202-225-2455,H2SC02059,2001,Joe Wilson,M,WILSON,SC02,R,202-225-2452,RepJoeWilson,3985,https://joewilson.house.gov/forms/writeyourrep/default.aspx,http://joewilson.house.gov,https://youtube.com/RepJoeWilson
139,D000615,1966-01-07,N00030752,,2229 Rayburn House Office Building,0,RepJeffDuncan,202-225-3216,H0SC03077,2010,Jeff Duncan,M,DUNCAN,SC03,R,202-225-5301,RepJeffDuncan,47967,https://jeffduncan.house.gov/contact-me/email-me,http://jeffduncan.house.gov,https://youtube.com/congjeffduncan
140,G000566,1964-08-22,N00030880,,2418 Rayburn House Office Building,0,143059759084016,202-226-1177,H0SC04257,2010,Trey Gowdy,M,GOWDY,SC04,R,202-225-6030,TGowdySC,121782,https://gowdy.house.gov/forms/writeyourrep/default.aspx,https://gowdy.house.gov,https://youtube.com/TGowdySC
141,M001182,1967-07-21,N00031412,,2419 Rayburn House Office Building,0,pages/foo/188649667827713,202-225-0464,H0SC05031,2010,Mick Mulvaney,M,MULVANEY,SC05,R,202-225-5501,RepMickMulvaney,60348,https://mulvaney.house.gov/email-mick/,https://mulvaney.house.gov,https://youtube.com/RepMickMulvaney
142,C000537,1940-07-21,N00002408,,242 Cannon House Office Building,0,jameseclyburn,202-225-2313,H2SC02042,1992,James E Clyburn,M,CLYBURN,SC06,D,202-225-3315,Clyburn,27066,https://clyburn.house.gov/contact-me/email-me,http://clyburn.house.gov,https://youtube.com/repjamesclyburn
143,R000597,1957-08-04,N00033832,,223 Cannon House Office Building,0,reptomrice,,H2SC07066,2012,Tom Rice,M,RICE,SC07,R,202-225-9895,RepTomRice,132382,https://tomriceforms.house.gov/forms/writeyourrep/,http://rice.house.gov,https://youtube.com/RepTomRice
144,S001184,1965-09-19,N00031782,,717 Hart Senate Office Building,0,SenatorTimScott,202-225-3407,H0SC01279,2012,Tim Scott,M,SCOTT,SCS1,R,202-224-6121,SenatorTimScott,11940,https://www.scott.senate.gov/contact/email-me,https://www.scott.senate.gov,https://youtube.com/SenatorTimScott
145,G000359,1955-07-09,N00009975,Lost presidential primary,290 Russell Senate Office Building,0,USSenatorLindseyGraham,202-224-3808,S0SC00149,2002,Lindsey Graham,M,GRAHAM,SCS2,R,202-224-5972,GrahamBlog,21992,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,https://www.lgraham.senate.gov/public,https://youtube.com/USSenLindseyGraham
146,L000580,1959-10-24,N00029400,,214 Cannon House Office Building,0,RepLujanGrisham,202-225-4975,H8NM01257,2012,Michelle Lujan Grisham,F,GRISHAM,NM01,D,202-225-6316,RepLujanGrisham,102404,http://lujangrisham.house.gov/contact/email-me/,https://lujangrisham.house.gov,https://youtube.com/RepLujanGrisham
147,P000588,1947-08-24,N00012672,,2432 Rayburn House Office Building,0,RepStevePearce,,H2NM02126,2010,Steve Pearce,M,PEARCE,NM02,R,202-225-2365,RepStevePearce,10655,https://pearce.house.gov/contact-me/email-me,http://pearce.house.gov,https://youtube.com/NMStevePearce
148,L000570,1972-06-07,N00029562,,2231 Rayburn House Office Building,0,RepBenRayLujan,202-226-1528,H8NM03196,2008,Ben R Lujan,M,LUJAN,NM03,D,202-225-6190,RepBenRayLujan,102842,https://forms.house.gov/lujan/contact-form.shtml,https://lujan.house.gov,https://youtube.com/Repbenraylujan
149,H001046,1971-10-17,N00029835,,303 Hart Senate Office Building,0,MartinHeinrich,202-225-4975,H8NM01224,2012,Martin Heinrich,M,HEINRICH,NMS1,D,202-224-5521,MartinHeinrich,74517,http://www.heinrich.senate.gov/contact,https://www.heinrich.senate.gov,https://youtube.com/SenMartinHeinrich
150,U000039,1948-05-18,N00006561,,531 Hart Senate Office Building,0,senatortomudall,202-228-3261,H8NM03097,2008,Tom Udall,M,UDALL,NMS2,D,202-224-6621,SenatorTomUdall,22658,https://www.tomudall.senate.gov/?p=contact,https://www.tomudall.senate.gov,https://youtube.com/senatortomudall
151,N000188,1958-12-13,N00036154,,1531 Longworth House Office Building,0,DonaldNorcrossNJ,202-225-6583,H4NJ01084,2014,Don Norcross,M,NORCROSS,NJ01,D,202-225-6501,DonaldNorcross,,http://norcross.house.gov/contact,https://norcross.house.gov,
152,L000554,1946-05-12,N00000851,,2427 Rayburn House Office Building,0,FrankLoBiondo,202-225-3318,H2NJ02037,1994,Frank A LoBiondo,M,LOBIONDO,NJ02,R,202-225-6572,RepLoBiondo,21890,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov,https://youtube.com/USRepFrankLoBiondo
153,M001193,1960-10-16,N00036155,,506 Cannon House Office Building,0,CongressmanTomMacArthur,202-225-0778,H4NJ03130,2014,Thomas MacArthur,M,MACARTHUR,NJ03,R,202-225-4765,RepTomMacArthur,,,https://macarthur.house.gov,
154,S000522,1953-03-04,N00009816,,2373 Rayburn House Office Building,0,RepChrisSmith,202-225-7768,H8NJ04014,1980,Chris Smith,M,SMITH,NJ04,R,202-225-3765,RepChrisSmith,26952,https://chrissmith.house.gov/contact/write.htm,http://chrissmith.house.gov,https://youtube.com/USRepChrisSmith
155,G000548,1959-07-09,N00000743,Lost general election,2232 Rayburn House Office Building,21,pages/foo/6756553401,202-225-9048,H8NJ05052,2002,Scott Garrett,M,GARRETT,NJ05,R,202-225-4465,RepGarrett,4430,https://garrettforms.house.gov/forms/writeyourrep/?zip5=07452&zip4=3321,http://garrett.house.gov,http://youtube.com/repscottgarrett
156,P000034,1951-10-30,N00000781,,237 Cannon House Office Building,0,repfrankpallone,202-225-9665,H8NJ03073,1988,Frank Pallone Jr.,M,PALLONE,NJ06,D,202-225-4671,FrankPallone,26951,https://pallone.house.gov/contact-me/email-me,https://pallone.house.gov,https://youtube.com/repfrankpallone
157,L000567,1952-06-25,N00000898,,2352 Rayburn House Office Building,0,CongressmanLance,202-225-9460,H6NJ12136,2008,Leonard Lance,M,LANCE,NJ07,R,202-225-5361,RepLanceNJ7,4443,https://lance.house.gov/contact-me1,http://lance.house.gov,https://youtube.com/CongressmanLance
158,S001165,1951-01-26,N00027523,,2342 Rayburn House Office Building,0,81058818750,202-226-0792,H6NJ13191,2006,Albio Sires,M,SIRES,NJ08,D,202-225-7919,RepSires,22510,https://sires.house.gov/contact-me/email-me,https://sires.house.gov,https://youtube.com/RepSiresNJ13
159,P000096,1937-01-25,N00000751,,2370 Rayburn House Office Building,0,pascrell,202-225-5782,H6NJ08118,1996,Bill Pascrell Jr.,M,PASCRELL,NJ09,D,202-225-5751,BillPascrell,478,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov,https://youtube.com/RepPascrell
160,P000604,1958-12-17,N00034639,,132 Cannon House Office Building,0,DonaldPayneJr,202-225-4160,H2NJ10154,2012,Donald M Payne Jr.,M,PAYNE,NJ10,D,202-225-3436,RepDonaldPayne,90668,http://payne.house.gov/contact/email-me,http://payne.house.gov,
161,F000372,1946-04-29,N00000684,,2306 Rayburn House Office Building,0,rfrelinghuysen,202-225-3186,H2NJ05014,1994,Rodney Frelinghuysen,M,FRELINGHUYSEN,NJ11,R,202-225-5034,USRepRodney,22177,https://frelinghuysenforms.house.gov/contact-form,https://frelinghuysen.house.gov,https://youtube.com/RepFrelinghuysen
162,W000822,1945-02-06,N00036158,,1535 Longworth House Office Building,0,RepBonnie,202-225-6025,H4NJ12149,2014,Bonnie Coleman,F,COLEMAN,NJ12,D,202-225-5801,RepBonnie,,,https://watsoncoleman.house.gov,
163,M000639,1954-01-01,N00000699,,528 Hart Senate Office Building,0,senatormenendez,202-228-2197,H2NJ13075,2006,Robert Menendez,M,MENENDEZ,NJS1,D,202-224-4744,SenatorMenendez,26961,https://www.menendez.senate.gov/contact,https://www.menendez.senate.gov,https://youtube.com/SenatorMenendezNJ
164,B001288,1969-04-27,N00035267,,359 Dirksen Senate Office Building,0,,202-224-8378,S4NJ00185,2013,Cory Booker,M,BOOKER,NJS2,D,202-224-3224,CoryBooker,76151,https://www.booker.senate.gov/?p=contact,https://www.booker.senate.gov,https://youtube.com/SenCoryBooker
165,M001144,1959-06-27,N00013846,Retired at end of 114th,336 Cannon House Office Building,4,pages/foo/66367876671,202-225-3414,H2FL01100,2001,Jeff Miller,M,MILLER,FL01,R,202-225-4136,,17276,https://jeffmiller.house.gov/contact/contactform.htm,http://jeffmiller.house.gov,http://youtube.com/RepJeffMiller
166,G000575,1963-01-31,N00035688,Retired at end of 114th,1213 Longworth House Office Building,4,,202-225-5615,H4FL02062,2014,Gwen Graham,F,Graham,FL02,D,202-225-5235,RepGwenGraham,,,https://graham.house.gov,
167,Y000065,1955-04-13,N00033220,,511 Cannon House Office Building,0,CongressmanTedYoho,,H2FL06109,2012,Ted Yoho,M,YOHO,FL03,R,202-225-5744,RepTedYoho,137622,https://yoho.house.gov/contact/email-me,http://yoho.house.gov,https://youtube.com/RepTedYoho
168,C001045,1944-09-01,N00012739,Retired at end of 114th,2161 Rayburn House Office Building,4,pages/foo/200388204657,202-225-2504,H0FL04066,2000,Ander Crenshaw,M,CRENSHAW,FL04,R,202-225-2501,AnderCrenshaw,31130,https://forms.house.gov/write/crenshaw/email-me.shtml,http://crenshaw.house.gov,http://youtube.com/RepAnderCrenshaw
169,B000911,1946-11-11,N00002713,Lost primary,2111 Rayburn House Office Building,20,pages/foo/179120958813519,202-225-2256,H2FL03056,1992,Corrine Brown,F,BROWN,FL05,D,202-225-0123,RepCorrineBrown,26797,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,http://corrinebrown.house.gov,http://youtube.com/CongresswomanBrown
170,D000621,1978-09-14,N00034746,,1524 Longworth House Office Building,0,RepDeSantis,202-226-6299,H2FL00292,2012,Ron DeSantis,M,DESANTIS,FL06,R,202-225-2706,RepDeSantis,137630,https://desantis.house.gov/contact/email-me,http://desantis.house.gov,https://youtube.com/RepRonDeSantis
171,M000689,1943-01-27,N00002793,Lost general election,2187 Rayburn House Office Building,21,JohnMica,202-226-0821,H2FL08055,1992,John L Mica,M,MICA,FL07,R,202-225-4035,,26805,https://mica.house.gov/contact-form,http://mica.house.gov,http://youtube.com/RepJohnMica
172,P000599,1947-12-18,N00029662,,2150 Rayburn House Office Building,0,bill.posey15,202-225-3516,H8FL15107,2008,Bill Posey,M,POSEY,FL08,R,202-225-3671,CongBillPosey,24280,https://posey.house.gov/forms/writeyourrep/,http://posey.house.gov,https://youtube.com/CongressmanPosey
173,G000556,1958-03-13,N00028418,Lost Senate primary,303 Cannon House Office Building,20,,202-225-9742,H6FL08213,2012,Alan Grayson,M,GRAYSON,FL09,D,202-225-9889,,68184,https://grayson.house.gov/contact/email-me,http://grayson.house.gov,
174,W000806,1949-04-27,N00026335,,1210 Longworth House Office Building,0,RepWebster,202-225-0999,H0FL08208,2010,Daniel Webster,M,WEBSTER,FL10,R,202-225-1002,RepWebster,24302,https://webster.house.gov/contact/contactform.htm,http://webster.house.gov,https://youtube.com/repdanwebster
175,N000185,1951-05-26,N00032441,Retired at end of 114th,1727 Longworth House Office Building,4,pages/foo/183541871674897,202- 226-6559,H0FL05139,2010,Richard Nugent,M,NUGENT,FL11,R,202-225-1002,RepRichNugent,124333,https://nugent.house.gov/contact/email-me,http://nugent.house.gov,http://youtube.com/RepRichNugent
176,B001257,1963-02-08,N00027462,,2112 Rayburn House Office Building,0,GusBilirakis,202-225-4085,H6FL09070,2006,Gus Bilirakis,M,BILIRAKIS,FL12,R,202-225-5755,RepGusBilirakis,17318,https://bilirakis.house.gov/email-congressman-bilirakis/,https://bilirakis.house.gov,https://youtube.com/RepGusBilirakis
177,J000296,1972-10-31,N00035717,Lost general election,1728 Longworth House Office Building,21,pages/foo/712496765463007,202-225-9764,H4FL13101,2014,David Jolly,M,JOLLY,FL13,R,202-225-5961,USRepDavidJolly,146146,https://jolly.house.gov/contact/email-me,http://jolly.house.gov,
178,C001066,1966-08-20,N00027514,,2052 Rayburn House Office Building,0,USRepKathyCastor,202-225-5652,H6FL11126,2006,Kathy Castor,F,CASTOR,FL14,D,202-225-3376,USRepKCastor,53825,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov,https://youtube.com/RepKathyCastor
179,R000593,1959-10-18,N00030645,,436 Cannon House Office Building,0,dennis.ross.376,202-226-0585,H0FL12101,2010,Dennis Ross,M,ROSS,FL15,R,202-225-1252,RepDennisRoss,12813,https://dennisross.house.gov/forms/writeyourrep/,http://dennisross.house.gov,https://youtube.com/RepDennisRoss
180,B001260,1951-05-08,N00027626,,2104 Rayburn House Office Building,0,CongressmanBuchanan,202-226-0828,H6FL13148,2006,Vernon Buchanan,M,BUCHANAN,FL16,R,202-225-5015,VernBuchanan,66247,https://buchanan.house.gov/email-me,https://buchanan.house.gov,https://youtube.com/vernbuchanan
181,R000583,1970-11-21,N00029018,,2160 Rayburn House Office Building,0,reptomrooney,202-225-3132,H8FL16022,2008,Tom Rooney,M,ROONEY,FL17,R,202-225-5792,TomRooney,107800,https://rooney.house.gov/email-me,https://rooney.house.gov,https://youtube.com/CongressmanRooney
182,M001191,1983-03-30,N00033091,Lost Senate general,211 Cannon House Office Building,21,pages/foo/317735028342371,202-225-8398,H2FL22072,2012,Patrick Murphy,M,MURPHY,FL18,D,202-225-3026,RepMurphyFL,137652,http://patrickmurphy.house.gov/contact/,http://patrickmurphy.house.gov,http://youtube.com/RepPatrickMurphyFL
183,C001102,1959-09-28,N00035854,Retired at end of 114th,228 Cannon House Office Building,4,,,H4FL19074,2014,Curt Clawson,M,CLAWSON,FL19,R,202-225-2536,RepCurtClawson,148899,,http://clawson.house.gov,
184,H000324,1936-09-05,N00002884,,2353 Rayburn House Office Building,0,95696782238,202-225-1171,H2FL23021,1992,Alcee L Hastings,M,HASTINGS,FL20,D,202-225-1313,RepHastingsFL,26798,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224,http://alceehastings.house.gov,https://youtube.com/RepAlceeHastings
185,D000610,1966-05-07,N00031317,,2447 Rayburn House Office Building,0,CongressmanTedDeutch,202-225-5974,H0FL19080,2010,Ted Deutch,M,DEUTCH,FL21,D,202-225-3001,RepTedDeutch,67151,https://teddeutch.house.gov/forms/writeyourrep/default.aspx,http://teddeutch.house.gov,https://youtube.com/congressmanteddeutch
186,F000462,1948-05-16,N00002893,,1037 Longworth House Office Building,0,RepLoisFrankel,561-998-9048,H2FL14053,2012,Lois J Frankel,F,FRANKEL,FL22,D,202-225-9890,RepLoisFrankel,8102,https://frankel.house.gov/contact/email-me,http://frankel.house.gov,https://youtube.com/reploisfrankel
187,W000797,1966-09-27,N00026106,,1114 Longworth House Office Building,0,RepDWS,202-226-2052,H4FL20023,2004,Debbie Wasserman Schultz,F,SCHULTZ,FL23,D,202-225-7931,RepDWStweets,24301,http://wassermanschultz.house.gov/contact/email-me.shtml,https://wassermanschultz.house.gov,https://youtube.com/RepWassermanSchultz
188,W000808,1942-11-05,N00030650,,2445 Rayburn House Office Building,0,RepWilson,202-226-0777,H0FL17068,2010,Frederica Wilson,F,WILSON,FL24,D,202-225-4506,RepWilson,17319,https://wilsonforms.house.gov/contact-form,https://wilson.house.gov,https://youtube.com/repfredericawilson
